1,2,3,4,5,6,7,8,9,10,11,12,13,14
20240411234935,10.0.0.20,57890,10.0.2.20,5001,3,0.0-10.3,4587520,3549961,0,reno,100000,500,10000
20240411235026,10.0.0.20,53956,10.0.2.20,5001,3,0.0-11.7,1850544,1268629,0,reno,100000,500,100000
20240411235116,10.0.0.20,48322,10.0.2.20,5001,3,0.0-10.4,4063232,3124045,0,reno,100000,900,10000
20240411235208,10.0.0.20,58514,10.0.2.20,5001,3,0.0-12.9,1088896,677437,0,reno,100000,900,100000
20240411235258,10.0.0.20,49130,10.0.2.20,5001,3,0.0-10.3,46661632,36328347,0,reno,1000000,500,10000
20240411235351,10.0.0.20,36612,10.0.2.20,5001,3,0.0-12.1,7602176,5030697,0,reno,1000000,500,100000
20240411235440,10.0.0.20,52662,10.0.2.20,5001,3,0.0-11.0,98959360,71791519,0,reno,1000000,900,10000
20240411235531,10.0.0.20,48756,10.0.2.20,5001,3,0.0-10.3,1703936,1327659,0,reno,1000000,900,100000
20240412000309,10.0.0.20,42670,10.0.2.20,5001,3,0.0-11.0,7864320,5737623,1,reno,100000,500,10000
20240412000401,10.0.0.20,53012,10.0.2.20,5001,3,0.0-10.4,786432,603663,1,reno,100000,500,100000
20240412000451,10.0.0.20,38674,10.0.2.20,5001,3,0.0-10.2,4325376,3381939,1,reno,100000,900,10000
20240412000540,10.0.0.20,49478,10.0.2.20,5001,3,0.0-10.1,786432,625895,1,reno,100000,900,100000
20240412000631,10.0.0.20,60106,10.0.2.20,5001,3,0.0-11.1,71434240,51542695,1,reno,1000000,500,10000
20240412000724,10.0.0.20,48236,10.0.2.20,5001,3,0.0-12.8,10395192,6498441,1,reno,1000000,500,100000
20240412000815,10.0.0.20,49234,10.0.2.20,5001,3,0.0-10.4,91488256,70289422,1,reno,1000000,900,10000
20240412000907,10.0.0.20,41484,10.0.2.20,5001,3,0.0-12.6,6028944,3817229,1,reno,1000000,900,100000
20240412001648,10.0.0.20,42038,10.0.2.20,5001,3,0.0-10.0,3538944,2826815,2,reno,100000,500,10000
20240412001743,10.0.0.20,49476,10.0.2.20,5001,3,0.0-13.6,2077880,1226507,2,reno,100000,500,100000
20240412001834,10.0.0.20,49132,10.0.2.20,5001,3,0.0-10.5,5242880,3984849,2,reno,100000,900,10000
20240412001925,10.0.0.20,47448,10.0.2.20,5001,3,0.0-11.9,917504,615635,2,reno,100000,900,100000
20240412002016,10.0.0.20,47124,10.0.2.20,5001,3,0.0-10.4,22151168,17068950,2,reno,1000000,500,10000
20240412002109,10.0.0.20,37686,10.0.2.20,5001,3,0.0-12.4,22981216,14882902,2,reno,1000000,500,100000
20240412002201,10.0.0.20,49504,10.0.2.20,5001,3,0.0-10.7,77594624,58024308,2,reno,1000000,900,10000
20240412002251,10.0.0.20,38934,10.0.2.20,5001,3,0.0-11.0,6291456,4564059,2,reno,1000000,900,100000
20240412003033,10.0.0.20,44682,10.0.2.20,5001,3,0.0-10.1,4325376,3428071,3,reno,100000,500,10000
20240412003127,10.0.0.20,55388,10.0.2.20,5001,3,0.0-13.6,598080,351177,3,reno,100000,500,100000
20240412003217,10.0.0.20,36252,10.0.2.20,5001,3,0.0-10.6,6553600,4961647,3,reno,100000,900,10000
20240412003307,10.0.0.20,59786,10.0.2.20,5001,3,0.0-10.1,1572864,1240667,3,reno,100000,900,100000
20240412003358,10.0.0.20,60386,10.0.2.20,5001,3,0.0-10.0,16646144,13279448,3,reno,1000000,500,10000
20240412003450,10.0.0.20,48844,10.0.2.20,5001,3,0.0-11.0,4980736,3611626,3,reno,1000000,500,100000
20240412003542,10.0.0.20,42808,10.0.2.20,5001,3,0.0-10.0,15859712,12640028,3,reno,1000000,900,10000
20240412003638,10.0.0.20,57030,10.0.2.20,5001,3,0.0-14.4,5898240,3284389,3,reno,1000000,900,100000
20240412004427,10.0.0.20,58744,10.0.2.20,5001,3,0.0-10.2,4587520,3600666,4,reno,100000,500,10000
20240412004521,10.0.0.20,49854,10.0.2.20,5001,3,0.0-13.5,786432,464628,4,reno,100000,500,100000
20240412004611,10.0.0.20,46240,10.0.2.20,5001,3,0.0-10.5,5373952,4099209,4,reno,100000,900,10000
20240412004706,10.0.0.20,47884,10.0.2.20,5001,3,0.0-13.6,655360,385380,4,reno,100000,900,100000
20240412004759,10.0.0.20,48882,10.0.2.20,5001,3,0.0-10.8,71958528,53260828,4,reno,1000000,500,10000
20240412004855,10.0.0.20,39186,10.0.2.20,5001,3,0.0-14.8,7200904,3903565,4,reno,1000000,500,100000
20240412004946,10.0.0.20,56626,10.0.2.20,5001,3,0.0-10.6,101974016,76613652,4,reno,1000000,900,10000
20240412005037,10.0.0.20,47434,10.0.2.20,5001,3,0.0-10.5,2621440,2003966,4,reno,1000000,900,100000
20240412005823,10.0.0.20,42762,10.0.2.20,5001,3,0.0-10.0,4456448,3562559,5,reno,100000,500,10000
20240412005915,10.0.0.20,60698,10.0.2.20,5001,3,0.0-12.3,786432,509495,5,reno,100000,500,100000
20240412010005,10.0.0.20,52330,10.0.2.20,5001,3,0.0-10.1,5373952,4242361,5,reno,100000,900,10000
20240412010058,10.0.0.20,43328,10.0.2.20,5001,3,0.0-14.4,1067176,593613,5,reno,100000,900,100000
20240412010148,10.0.0.20,57582,10.0.2.20,5001,3,0.0-10.3,18219008,14096905,5,reno,1000000,500,10000
20240412010240,10.0.0.20,39990,10.0.2.20,5001,3,0.0-10.8,4980736,3697872,5,reno,1000000,500,100000
20240412010329,10.0.0.20,55972,10.0.2.20,5001,3,0.0-10.2,55967744,43742292,5,reno,1000000,900,10000
20240412010422,10.0.0.20,53888,10.0.2.20,5001,3,0.0-14.7,16187192,8825239,5,reno,1000000,900,100000
20240412011204,10.0.0.20,47476,10.0.2.20,5001,3,0.0-10.1,4587520,3646141,6,reno,100000,500,10000
20240412011257,10.0.0.20,42606,10.0.2.20,5001,3,0.0-14.9,1575424,843730,6,reno,100000,500,100000
20240412011346,10.0.0.20,55466,10.0.2.20,5001,3,0.0-10.2,5505024,4296868,6,reno,100000,900,10000
20240412011435,10.0.0.20,51188,10.0.2.20,5001,3,0.0-11.4,1537776,1083828,6,reno,100000,900,100000
20240412011524,10.0.0.20,38002,10.0.2.20,5001,3,0.0-10.0,67371008,53744231,6,reno,1000000,500,10000
20240412011615,10.0.0.20,52078,10.0.2.20,5001,3,0.0-11.9,5111808,3428433,6,reno,1000000,500,100000
20240412011704,10.0.0.20,51092,10.0.2.20,5001,3,0.0-10.5,37355520,28340923,6,reno,1000000,900,10000
20240412011753,10.0.0.20,34834,10.0.2.20,5001,3,0.0-10.4,4587520,3518676,6,reno,1000000,900,100000
20240412012526,10.0.0.20,35856,10.0.2.20,5001,3,0.0-10.1,4718592,3752601,7,reno,100000,500,10000
20240412012618,10.0.0.20,44748,10.0.2.20,5001,3,0.0-10.3,1441792,1117983,7,reno,100000,500,100000
20240412012711,10.0.0.20,60884,10.0.2.20,5001,3,0.0-10.5,5373952,4086976,7,reno,100000,900,10000
20240412012803,10.0.0.20,52936,10.0.2.20,5001,3,0.0-11.9,655360,439887,7,reno,100000,900,100000
20240412012855,10.0.0.20,42930,10.0.2.20,5001,3,0.0-10.0,18743296,14946309,7,reno,1000000,500,10000
20240412012948,10.0.0.20,51206,10.0.2.20,5001,3,0.0-12.9,9080408,5642584,7,reno,1000000,500,100000
20240412013036,10.0.0.20,42524,10.0.2.20,5001,3,0.0-10.3,41287680,32017063,7,reno,1000000,900,10000
20240412013126,10.0.0.20,43762,10.0.2.20,5001,3,0.0-10.8,5636096,4162946,7,reno,1000000,900,100000
